0,2,第七十届会议,第七十届会议
1,3,议程项目15和1,议程项目15和116
2,4,联合国经济、社会,"联合国经济、社会及有关领域主要大型
会议和首脑会议成果的统筹协调执行及
后续行动千年首脑会议成果的后续行动"
3,7,大会第六十九届会,		大会第六十九届会议提交关于通过2015年后发展议程的联合国首脑会议的决议草案
4,10,变革我们的世界：,		变革我们的世界：2030年可持续发展议程
5,13,大会，,	大会，
6,14,通过关于通过20,	通过关于通过2015年后发展议程的联合国首脑会议的下列成果文件：
7,15,变革我们的世界：,		变革我们的世界：2030年可持续发展议程
8,18,序言,		序言
9,20,本议程是为人类、,	本议程是为人类、地球与繁荣制订的行动计划。它还旨在加强世界和平与自由。我们认识到，消除一切形式和表现的贫困，包括消除极端贫困，是世界最大的挑战，也是实现可持续发展必不可少的要求。
10,21,所有国家和所有利,	所有国家和所有利益攸关方将携手合作，共同执行这一计划。我们决心让人类摆脱贫困和匮乏，让地球治愈创伤并得到保护。我们决心大胆采取迫切需要的变革步骤，让世界走上可持续且具有恢复力的道路。在踏上这一共同征途时，我们保证，绝不让任何一个人掉队。
11,22,我们今天宣布的1,	我们今天宣布的17个可持续发展目标和169个具体目标展现了这个新全球议程的规模和雄心。这些目标寻求巩固发展千年发展目标，完成千年发展目标尚未完成的事业。它们要让所有人享有人权，实现性别平等，增强所有妇女和女童的权能。它们是整体的，不可分割的，并兼顾了可持续发展的三个方面：经济、社会和环境。
12,23,这些目标和具体目,	这些目标和具体目标将促使人们在今后15年内，在那些对人类和地球至关重要的领域中采取行动。
13,24,人类,人类
14,25,我们决心消除一切,	我们决心消除一切形式和表现的贫困与饥饿，让所有人平等和有尊严地在一个健康的环境中充分发挥自己的潜能。
15,26,地球,		地球
16,27,我们决心阻止地球,	我们决心阻止地球的退化，包括以可持续的方式进行消费和生产，管理地球的自然资源，在气候变化问题上立即采取行动，使地球能够满足今世后代的需求。
17,28,繁荣,		繁荣
18,29,我们决心让所有的,	我们决心让所有的人都过上繁荣和充实的生活，在与自然和谐相处的同时实现经济、社会和技术进步。
19,30,和平,		和平
20,31,我们决心推动创建,	我们决心推动创建没有恐惧与暴力的和平、公正和包容的社会。没有和平，就没有可持续发展；没有可持续发展，就没有和平。
21,32,伙伴关系,		伙伴关系
22,33,我们决心动用必要,	我们决心动用必要的手段来执行这一议程，本着加强全球团结的精神，在所有国家、所有利益攸关方和全体人民参与的情况下，恢复全球可持续发展伙伴关系的活力，尤其注重满足最贫困最脆弱群体的需求。
23,34,各项可持续发展目,	各项可持续发展目标是相互关联和相辅相成的，对于实现新议程的宗旨至关重要。如果能在议程述及的所有领域中实现我们的雄心，所有人的生活都会得到很大改善，我们的世界会变得更加美好。
24,35,宣言,		宣言
25,36,导言,		导言
26,37,1.,1.	我们，在联合国成立七十周年之际于2015年9月25日至27日会聚在纽约联合国总部的各国的国家元首、政府首脑和高级别代表，于今日制定了新的全球可持续发展目标。
27,38,2.,2.	我们代表我们为之服务的各国人民，就一套全面、意义深远和以人为中心的具有普遍性和变革性的目标和具体目标，做出了一项历史性决定。我们承诺做出不懈努力，使这一议程在2030年前得到全面执行。我们认识到，消除一切形式和表现的贫困，包括消除极端贫困，是世界的最大挑战，对实现可持续发展必不可少。我们决心采用统筹兼顾的方式，从经济、社会和环境这三个方面实现可持续发展。我们还将在巩固实施千年发展目标成果的基础上，争取完成它们尚未完成的事业。
28,39,3.,3.	我们决心在现在到2030年的这一段时间内，在世界各地消除贫困与饥饿；消除各个国家内和各个国家之间的不平等；建立和平、公正和包容的社会；保护人权和促进性别平等，增强妇女和女童的权能；永久保护地球及其自然资源。我们还决心创造条件，实现可持续、包容和持久的经济增长，让所有人分享繁荣并拥有体面工作，同时顾及各国不同的发展程度和能力。
29,40,4.,4.	在踏上这一共同征途时，我们保证，绝不让任何一个人掉队。我们认识到，人必须有自己的尊严，我们希望实现为所有国家、所有人民和所有社会阶层制定的目标和具体目标。我们将首先尽力帮助落在最后面的人。
30,41,5.,5.	这是一个规模和意义都前所未有的议程。它顾及各国不同的国情、能力和发展程度，尊重各国的政策和优先事项，因而得到所有国家的认可，并适用于所有国家。这些目标既是普遍性的，也是具体的，涉及每一个国家，无论它是发达国家还是发展中国家。它们是整体的，不可分割的，兼顾了可持续发展的三个方面。
31,42,6.,6.	这些目标和具体目标是在同世界各地的民间社会和其他利益攸关方进行长达两年的密集公开磋商和意见交流、尤其是倾听最贫困最弱势群体的意见后提出的。磋商也参考借鉴了联合国大会可持续发展目标开放工作组和联合国开展的重要工作。联合国秘书长于2014年12月就此提交了一份总结报告。
32,43,愿景,		愿景
33,44,7.,7.	我们通过这些目标和具体目标提出了一个雄心勃勃的变革愿景。我们要创建一个没有贫困、饥饿、疾病、匮乏并适于万物生存的世界。一个没有恐惧与暴力的世界。一个人人都识字的世界。一个人人平等享有优质大中小学教育、卫生保健和社会保障以及心身健康和社会福利的世界。一个我们重申我们对享有安全饮用水和环境卫生的人权的承诺和卫生条件得到改善的世界。一个有充足、安全、价格低廉和营养丰富的粮食的世界。一个有安全、充满活力和可持续的人类居住地的世界和一个人人可以获得价廉、可靠和可持续能源的世界。
34,45,8.,8.	我们要创建一个普遍尊重人权和人的尊严、法治、公正、平等和非歧视，尊重种族、民族和文化多样性，尊重机会均等以充分发挥人的潜能和促进共同繁荣的世界。一个注重对儿童投资和让每个儿童在没有暴力和剥削的环境中成长的世界。一个每个妇女和女童都充分享有性别平等和一切阻碍女性权能的法律、社会和经济障碍都被消除的世界。一个公正、公平、容忍、开放、有社会包容性和最弱势群体的需求得到满足的世界。
35,46,9.,9.	我们要创建一个每个国家都实现持久、包容和可持续的经济增长和每个人都有体面工作的世界。一个以可持续的方式进行生产、消费和使用从空气到土地、从河流、湖泊和地下含水层到海洋的各种自然资源的世界。一个有可持续发展、包括持久的包容性经济增长、社会发展、环境保护和消除贫困与饥饿所需要的民主、良政和法治，并有有利的国内和国际环境的世界。一个技术研发和应用顾及对气候的影响、维护生物多样性和有复原力的世界。一个人类与大自然和谐共处，野生动植物和其他物种得到保护的世界。
36,47,共同原则和承诺,		共同原则和承诺
37,48,10.,10.	新议程依循《联合国宪章》的宗旨和原则，充分尊重国际法。它以《世界人权宣言》、国际人权条约、《联合国千年宣言》和2005年世界首脑会议成果文件为依据，并参照了《发展权利宣言》等其他文书。
38,49,11.,11.	我们重申联合国所有重大会议和首脑会议的成果，因为它们为可持续发展奠定了坚实基础，帮助勾画这一新议程。这些会议和成果包括《关于环境与发展的里约宣言》、可持续发展问题世界首脑会议、社会发展问题世界首脑会议、《国际人口与发展会议行动纲领》、《北京行动纲要》和联合国可持续发展大会。我们还重申这些会议的后续行动，包括以下会议的成果：第四次联合国最不发达国家问题会议、第三次小岛屿发展中国家问题国际会议、第二次联合国内陆发展中国家问题会议和第三次联合国世界减灾大会。
39,50,12.,12.	我们重申《关于环境与发展的里约宣言》的各项原则，特别是宣言原则7提出的共同但有区别的责任原则。
40,51,13.,13.	这些重大会议和首脑会议提出的挑战和承诺是相互关联的，需要有统筹解决办法。要有新的方法来有效处理这些挑战。在实现可持续发展方面，消除一切形式和表现的贫困，消除国家内和国家间的不平等，保护地球，实现持久、包容和可持续的经济增长和促进社会包容，是相互关联和相辅相成的。
41,52,当今所处的世界,		当今所处的世界
